Graph,n,m,minDeg,maxDeg,Time,Heuristics,variable,value
"I?z^f~~~w
",10,35,5,9,0.0005326271057128906,0,RandomSolvable,0.0
"I?z^vj~~w
",10,34,5,9,0.0007832050323486328,0,RandomSolvable,0.0
"I?z^vnn~w
",10,34,4,9,0.0011513233184814453,0,RandomSolvable,0.0
"I?z^vn~~w
",10,35,5,9,0.0005171298980712891,0,RandomSolvable,0.0
"I?z^vvv~w
",10,34,5,9,0.00047469139099121094,0,RandomSolvable,0.0
"I?z^vvz~w
",10,34,5,9,0.00033926963806152344,0,RandomSolvable,0.0
"I?z^vv~~w
",10,35,5,9,0.0009152889251708984,0,RandomSolvable,0.0
"I?z^vzv~w
",10,34,5,9,0.0005438327789306641,0,RandomSolvable,0.0
"I?z^vzz~w
",10,34,5,9,0.0008671283721923828,0,RandomSolvable,0.0
"I?z^vz|~w
",10,34,5,9,0.0005409717559814453,0,RandomSolvable,0.0
"I?z^vz}~w
",10,34,5,9,0.0009963512420654297,0,RandomSolvable,0.0
"I?z^vz~~w
",10,35,5,9,0.0010142326354980469,0,RandomSolvable,0.0
"I?z^v~}|w
",10,34,5,8,0.0005364418029785156,0,RandomSolvable,0.0
"I?z^v~}}w
",10,34,5,8,0.0010023117065429688,0,RandomSolvable,0.0
"I?z^v~}~W
",10,34,5,8,0.0004088878631591797,0,RandomSolvable,0.0
"I?z^v~}~w
",10,35,5,9,0.0005428791046142578,0,RandomSolvable,0.0
"I?z^v~~~w
",10,36,5,9,0.0006742477416992188,0,RandomSolvable,0.0
"I?z^~z}}w
",10,34,5,8,0.0004887580871582031,0,RandomSolvable,0.0
"I?z^~z}~g
",10,34,5,8,0.0003962516784667969,0,RandomSolvable,1.0
"I?z^~z}~w
",10,35,5,9,0.0004715919494628906,0,RandomSolvable,0.0
"I?z^~z~~w
",10,36,5,9,0.0012078285217285156,0,RandomSolvable,0.0
"I?z^~~~~w
",10,37,5,9,0.0011718273162841797,0,RandomSolvable,0.0
"I?ze|~~~w
",10,34,4,9,0.0010349750518798828,0,RandomSolvable,0.0
"I?ze}~~~w
",10,34,4,9,0.001115560531616211,0,RandomSolvable,0.0
"I?ze~^~~w
",10,34,3,9,0.0006477832794189453,0,RandomSolvable,0.0
"I?ze~v~~w
",10,34,4,9,0.0011136531829833984,0,RandomSolvable,0.0
"I?ze~z~~w
",10,34,4,9,0.0005495548248291016,0,RandomSolvable,0.0
"I?ze~~}~w
",10,34,4,9,0.0013184547424316406,0,RandomSolvable,0.0
"I?ze~~~~w
",10,35,4,9,0.0006148815155029297,0,RandomSolvable,0.0
"I?zfV~~~w
",10,34,3,9,0.0010406970977783203,0,RandomSolvable,0.0
"I?zf^^~~w
",10,34,2,9,0.0005102157592773438,0,RandomSolvable,0.0
"I?zf^z~~w
",10,34,3,9,0.000469207763671875,0,RandomSolvable,0.0
"I?zf^~}~w
",10,34,3,9,0.0004215240478515625,0,RandomSolvable,0.0
"I?zf^~~~w
",10,35,3,9,0.0004279613494873047,0,RandomSolvable,0.0
"I?zff~~~w
",10,34,4,9,0.00041222572326660156,0,RandomSolvable,1.0
"I?zfv^~~w
",10,34,3,9,0.0010836124420166016,0,RandomSolvable,0.0
"I?zfvn~~w
",10,34,4,9,0.0003733634948730469,0,RandomSolvable,0.0
"I?zfvv~~w
",10,34,4,9,0.0005011558532714844,0,RandomSolvable,0.0
"I?zfvz~~w
",10,34,4,9,0.0010993480682373047,0,RandomSolvable,0.0
"I?zfv~}~w
",10,34,4,9,0.0009481906890869141,0,RandomSolvable,0.0
"I?zfv~~~w
",10,35,4,9,0.0006363391876220703,0,RandomSolvable,0.0
"I?zf~z}~w
",10,34,4,9,0.0004999637603759766,0,RandomSolvable,0.0
"I?zf~z~~o
",10,34,4,8,0.001018524169921875,0,RandomSolvable,0.0
"I?zf~z~~w
",10,35,4,9,0.0005738735198974609,0,RandomSolvable,0.0
"I?zf~~~~w
",10,36,4,9,0.0004420280456542969,0,RandomSolvable,0.0
